,review,Total Star,Menu,Star_opt,Output
219,질먹었습니다 맛있어요,★★★★★,핫뿌레이크/1,"
맛
★
5
양
★
5
배달
★
5
",4.4
220,맛있게 잘먹었습니다,★★★★★,콘듀치킨 순살/1,"
맛
★
5
양
★
5
배달
★
4
",5.0
221,맛있게 잘 먹었습니다,★★★★★,후라이드반＋양념반/1(옵션변경(순살（다리살）)),"
맛
★
5
양
★
5
배달
★
5
",4.8
222,항상 감사드려요 최고에요,★★★★★,갈릭반＋핫양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",4.8
223,잘먹었습니다 배달 서비스 역시 좋은 곳,★★★★★,갈릭반＋핫양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",5.0
224,역시 최고입니다 잘 먹었어요,★★★★★,후라이드반＋양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",5.0
225,맛잇게 잘먹엇습니다 이벤트 굿이에요 배달료인상은 좀 아쉽네요 ㅠㅠ,★★★★★,후라이드반＋양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",4.8
226,맛있게 잘 먹었습니다,★★★★★,핫뿌레이크 순살/1,"
맛
★
5
양
★
5
배달
★
5
",4.8
227,굿,★★★★★,핫뿌레이크 순살/1(사이드 추가(리얼치즈볼)),"
맛
★
5
양
★
5
배달
★
5
",4.2
228,아주 맛있게 먹었습니다,★★★★★,핫뿌레이크 순살/1(음료 택 1(콜라 355mL 추가)),"
맛
★
5
양
★
5
배달
★
5
",4.6
229,맛있어요 후라이드도 맛있지만 어머니와저는 이곳의 양념을 좋아하여 반반을 자주 이용합니다 맛있게 잘먹었습니다,★★★★★,후라이드반＋양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
4
배달
★
5
",4.61
230,배달 빠르고 맛있습니다,★★★★★,갈릭반＋핫양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",4.4
231,잘 먹엇습니다 또 시킬게여,★★★★★,"오곡 후라이드 치킨/1(부위선택 택 1(한마리)),생맥주 1000cc/1","
맛
★
5
양
★
5
배달
★
5
",4.81
232,오늘도 정말 맛있게 잘 먹었습니다 사장님언제나 빠른 배달 좋은 서비스 정말 감사합니다 서비스로 주신 김말이 정말 맛있게 잘 먹었습니다 조만간 치킨 먹고 싶을때 또 시킬게요 사장님,★★★★★,"오곡 파닭 치킨/1(부위선택 택 1(순살（다리살）)),해쉬브라운（8EA）/1,치킨무 추가/1,생맥주 1000cc/2","
맛
★
5
양
★
5
배달
★
5
",5.0
233,맛나용,★★★★★,"갈릭반＋핫양념반/1(옵션변경(한마리),사이드 추가(김말이튀김))","
맛
★
5
양
★
5
배달
★
5
",4.2
234,오랜만에 갈반핫반 시켜봤는데 역시는 역시네요,★★★★★,갈릭반＋핫양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",4.8
235,서비스도 많이주고 맛있어요,★★★★★,후라이드반＋양념반/1(옵션변경(순살（다리살）)),"
맛
★
5
양
★
5
배달
★
5
",5.0
236,핫양념 매우면서도 맛있네요 근데 간장이 진짜 더 맛있어요 최고네요,★★★★★,갈릭반＋핫양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",4.8
237,배달도 빠르고 맛있네요,★★★★★,오곡 양념 치킨/1(부위선택 택 1(순살（다리살）)),"
맛
★
5
양
★
5
배달
★
5
",4.8
238,맛있게 잘 먹었어요 ,★★★★★,후라이드반＋양념반/1(옵션변경(순살（다리살）)),"
맛
★
5
양
★
5
배달
★
5
",4.8
239,치킨 오랫만에 시켰네요후라이드 넘 맛있게 잘 먹었습니다 서비스 김말이도  굿,★★★★★,후라이드반＋양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",4.39
240,오늘도 어김없이 또래오래 한마리 잘 먹었습니다 떡볶이도 맛있고요,★★★★★,"갈릭반＋핫양념반/1(옵션변경(한마리),사이드 추가(국물떡볶이 매운맛))","
맛
★
5
양
★
5
배달
★
5
",4.6
241,진짜 치킨,★★★★★,갈릭반＋핫양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",4.01
242,사진은 깜박하고 못찍어는데요    맛은 괜찮아요  맛있어요  짠데 덜짜으면은  좋겠어요,★★★★★,"갈릭반＋핫양념반/1(옵션변경(한마리),사이드 추가(콘치즈볼))","
맛
★
5
양
★
5
배달
★
5
",3.58
243,저희 엘리베이터가 고장나서 다리 불편하신 사장님께서 층까지 겨우 올라오셨어요 ㅠ 샤워하느라 전화도 못받고 죄송합니다 맛있는 음식 배달해주셔서 감사하고 사업 번창하세요,★★★★★,맵부심후라이드/1,"
맛
★
5
양
★
5
배달
★
5
",1.78
244,정말 맛있는 치킨이에요,★★★★★,"후라이드반＋양념반/1(옵션변경(한마리)),양념소스/1","
맛
★
5
양
★
5
배달
★
5
",4.8
245,맛있게 잘 먹었습니다,★★★★★,후라이드반＋양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",4.8
246,맛있게 잘목었어요,★★★★★,갈릭반＋핫양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",5.0
247,다리만 시켜봤는데 부자가 된거같네요 ㅎㅎ 잘먹엇어용,★★★★★,갈릭반＋핫양념반/1(옵션변경(스틱（다리）)),"
맛
★
5
양
★
5
배달
★
5
",4.6
